z_i [m], Length scale for U streamwise at height z_i [m]
10.924616209350432,275.86794310887706,
33.308967209350456,335.573184576076,
56.790878653444636,402.99732661876317,
81.42577146299215,453.9109135114969,
107.27103551623995,479.50454080925806,
134.38673383405512,477.51268086754965,
162.83583028149673,454.705609166623,
192.68374988277546,417.660685493015,
223.99954402440954,375.9736056096008,
256.85624089822784,345.3004672312211,
291.330422562007,323.8003879852859,
327.50237077303115,311.49785653007825,
