Time since start [s], center_x [m], center_y [m]
0.0,41666.69940948486,42861.14479255676,
600.0,43861.1455783844,42972.255990982056,
1200.0,39805.586835861206,40972.25441932678,
1800.0,39222.25304412842,40305.587228775024,
2400.0,40250.03162956238,43222.256187438965,
3000.0,41722.25500869751,41277.81021499634,
3600.0,39305.58644294739,41166.699016571045,
4200.0,39055.58624649048,40388.920627593994,
4800.0,42583.36679649353,38166.696659088135,
5400.0,43194.47838783264,38416.696855545044,
6000.0,43750.03437995911,40027.80923271179,
6600.0,42611.14459609985,43055.589389801025,
